source_type,source_id,frame_number,class_id,class_name,confidence,x_min,y_min,x_max,y_max,width,height,area_pixels,frame_width,frame_height,bbox_area_ratio,center_x,center_y,center_x_norm,center_y_norm,position_region,dominant_color_name,dom_r,dom_g,dom_b,timestamp_sec,ingestion_date,detection_id
image,foto1.jpeg,0,0,person,0.7641687393188477,182,1667,318,2034,136,367,49912,1536,2048,0.015866597493489582,250.0,1850.5,0.16276041666666666,0.903564453125,bottom-left,gray,74,76,82,0.0,2025-11-18 23:44:19,foto1.jpeg_0_0
image,foto1.jpeg,0,0,person,0.7621156573295593,513,1682,642,2023,129,341,43989,1536,2048,0.013983726501464844,577.5,1852.5,0.3759765625,0.904541015625,bottom-center,gray,66,68,72,0.0,2025-11-18 23:44:19,foto1.jpeg_0_1
image,foto1.jpeg,0,0,person,0.7230536341667175,375,1655,493,2026,118,371,43778,1536,2048,0.013916651407877604,434.0,1840.5,0.2825520833333333,0.898681640625,bottom-left,gray,58,55,56,0.0,2025-11-18 23:44:19,foto1.jpeg_0_2
image,foto1.jpeg,0,0,person,0.7106861472129822,802,1699,900,2003,98,304,29792,1536,2048,0.009470621744791666,851.0,1851.0,0.5540364583333334,0.90380859375,bottom-center,gray,68,54,57,0.0,2025-11-18 23:44:19,foto1.jpeg_0_3
image,foto1.jpeg,0,25,umbrella,0.6790485978126526,1091,1481,1535,1649,444,168,74592,1536,2048,0.023712158203125,1313.0,1565.0,0.8548177083333334,0.76416015625,bottom-right,gray,123,131,131,0.0,2025-11-18 23:44:19,foto1.jpeg_0_4
image,foto1.jpeg,0,0,person,0.6622799038887024,1135,1695,1249,1903,114,208,23712,1536,2048,0.007537841796875,1192.0,1799.0,0.7760416666666666,0.87841796875,bottom-right,gray,34,39,48,0.0,2025-11-18 23:44:19,foto1.jpeg_0_5
image,foto1.jpeg,0,0,person,0.6380569934844971,909,1662,1038,1963,129,301,38829,1536,2048,0.012343406677246094,973.5,1812.5,0.6337890625,0.885009765625,bottom-center,gray,62,59,59,0.0,2025-11-18 23:44:19,foto1.jpeg_0_6
image,foto1.jpeg,0,0,person,0.6227174997329712,675,1669,796,2024,121,355,42955,1536,2048,0.01365502675374349,735.5,1846.5,0.4788411458333333,0.901611328125,bottom-center,gray,51,53,56,0.0,2025-11-18 23:44:19,foto1.jpeg_0_7
image,foto1.jpeg,0,0,person,0.6027275919914246,299,1655,396,2025,97,370,35890,1536,2048,0.011409123738606771,347.5,1840.0,0.22623697916666666,0.8984375,bottom-left,gray,56,55,55,0.0,2025-11-18 23:44:19,foto1.jpeg_0_8
image,foto1.jpeg,0,25,umbrella,0.5412070751190186,558,1499,1131,1652,573,153,87669,1536,2048,0.027869224548339844,844.5,1575.5,0.5498046875,0.769287109375,bottom-center,gray,140,146,145,0.0,2025-11-18 23:44:19,foto1.jpeg_0_9
image,foto1.jpeg,0,0,person,0.4681446850299835,32,1697,100,2024,68,327,22236,1536,2048,0.007068634033203125,66.0,1860.5,0.04296875,0.908447265625,bottom-left,gray,88,94,106,0.0,2025-11-18 23:44:19,foto1.jpeg_0_10
image,foto1.jpeg,0,0,person,0.39881062507629395,1065,1671,1151,1908,86,237,20382,1536,2048,0.0064792633056640625,1108.0,1789.5,0.7213541666666666,0.873779296875,bottom-right,gray,63,64,70,0.0,2025-11-18 23:44:19,foto1.jpeg_0_11
